ID,ACTION,IS_DELETED
2644873,Client Visit,FALSE
2644874,Client Visit,FALSE
2644880,Client Visit,FALSE
2644946,Client Visit,FALSE
2645444,Client Visit,FALSE
2645531,Client Visit,FALSE
2645582,Client Visit,FALSE
2646228,Client Visit,FALSE
2646386,Client Visit,FALSE
2647655,Client Visit,FALSE
2648526,Client Visit,FALSE
2648558,Client Visit,FALSE
2648562,Client Visit,FALSE
2649163,Client Visit,FALSE
2649289,Client Visit,FALSE
2649290,Client Visit,FALSE
2649291,Client Visit,FALSE
2649428,Client Visit,FALSE
2650703,Client Visit,FALSE
2650729,Client Visit,FALSE
2651646,Client Visit,FALSE
2652042,Client Visit,FALSE
2652602,Client Visit,FALSE
2652603,Client Visit,FALSE
2652604,Client Visit,FALSE
2652605,Client Visit,FALSE
2652606,Client Visit,FALSE
2656009,Client Visit,FALSE
2658542,Client Visit,FALSE
2658605,Client Visit,FALSE
2658746,Client Visit,FALSE
2658806,Client Visit,FALSE
2658812,Client Visit,FALSE
2661127,Client Visit,FALSE
2661547,Client Visit,FALSE
2662986,Client Visit,FALSE
2662987,Client Visit,FALSE
2662988,Client Visit,FALSE
2662989,Client Visit,FALSE
2664396,Client Visit,FALSE
2666175,Client Visit,FALSE
2666589,Client Visit,FALSE
2667188,Client Visit,FALSE
2668494,Client Visit,FALSE
2668499,Client Visit,FALSE
2668502,Client Visit,FALSE
2668507,Client Visit,FALSE
2668715,Client Visit,FALSE
2669043,Client Visit,FALSE
2670811,Client Visit,FALSE
2673047,Client Visit,FALSE
2680086,Client Visit,FALSE
2680375,Client Visit,FALSE
2680513,Client Visit,FALSE
2681147,Client Visit,FALSE
2682129,Client Visit,FALSE
2684625,Client Visit,FALSE
2686451,Client Visit,FALSE
2686547,Client Visit,FALSE
2688801,Client Visit,FALSE
2691178,Client Visit,FALSE
2691346,Client Visit,FALSE
2697422,Client Visit,FALSE
2699894,Client Visit,FALSE
2700095,Client Visit,FALSE
2702817,Client Visit,FALSE
2711935,Client Visit,FALSE
2717200,Client Visit,FALSE
2718206,Client Visit,FALSE
2718212,Client Visit,FALSE
2719623,Client Visit,FALSE
2725480,Client Visit,FALSE
2727942,Client Visit,FALSE
2727945,Client Visit,FALSE
2727956,Client Visit,FALSE
2727973,Client Visit,FALSE
2727981,Client Visit,FALSE
2727985,Client Visit,FALSE
2733215,Client Visit,FALSE
2733920,Client Visit,FALSE
2734672,Client Visit,FALSE
2737533,Client Visit,FALSE
2737536,Client Visit,FALSE
2737907,Client Visit,FALSE
